example_id                                                      | status  | run_time        |
--------------------------------------------------------------- | ------- | --------------- |
./spec/decorators/challenge_attempt_decorator_spec.rb[1:1:1]    | passed  | 0.00031 seconds |
./spec/decorators/challenge_attempt_decorator_spec.rb[1:1:2:1]  | passed  | 0.00023 seconds |
./spec/decorators/challenge_attempt_decorator_spec.rb[1:2:1:1]  | passed  | 0.00021 seconds |
./spec/decorators/challenge_attempt_decorator_spec.rb[1:2:2:1]  | passed  | 0.00021 seconds |
./spec/decorators/challenge_attempt_decorator_spec.rb[1:2:3:1]  | passed  | 0.00023 seconds |
./spec/decorators/challenge_attempt_decorator_spec.rb[1:2:4:1]  | passed  | 0.0002 seconds  |
./spec/decorators/challenge_attempt_decorator_spec.rb[1:2:5:1]  | passed  | 0.00032 seconds |
./spec/decorators/challenge_attempt_decorator_spec.rb[1:2:6:1]  | passed  | 0.00029 seconds |
./spec/decorators/challenge_attempt_decorator_spec.rb[1:3:1]    | passed  | 0.00023 seconds |
./spec/decorators/challenge_attempt_decorator_spec.rb[1:3:2:1]  | passed  | 0.0002 seconds  |
./spec/decorators/challenge_attempt_decorator_spec.rb[1:4:1]    | passed  | 0.00023 seconds |
./spec/decorators/challenge_attempt_decorator_spec.rb[1:4:2:1]  | passed  | 0.0002 seconds  |
./spec/decorators/challenge_attempt_decorator_spec.rb[1:5:1]    | passed  | 0.00034 seconds |
./spec/decorators/challenge_attempt_decorator_spec.rb[1:5:2:1]  | passed  | 0.00022 seconds |
./spec/decorators/challenge_attempt_decorator_spec.rb[1:6:1]    | passed  | 0.00023 seconds |
./spec/decorators/challenge_attempt_decorator_spec.rb[1:6:2:1]  | passed  | 0.00024 seconds |
./spec/decorators/challenge_attempt_decorator_spec.rb[1:7:1]    | passed  | 0.00021 seconds |
./spec/decorators/challenge_attempt_decorator_spec.rb[1:7:2:1]  | passed  | 0.00029 seconds |
./spec/decorators/challenge_attempt_decorator_spec.rb[1:8:1]    | passed  | 0.00037 seconds |
./spec/decorators/challenge_attempt_decorator_spec.rb[1:8:2:1]  | passed  | 0.00025 seconds |
./spec/decorators/challenge_attempt_decorator_spec.rb[1:9:1]    | passed  | 0.00026 seconds |
./spec/decorators/challenge_attempt_decorator_spec.rb[1:9:2:1]  | passed  | 0.00032 seconds |
./spec/decorators/challenge_decorator_spec.rb[1:1:1:1]          | passed  | 0.00028 seconds |
./spec/decorators/challenge_decorator_spec.rb[1:1:2:1]          | passed  | 0.00021 seconds |
./spec/decorators/challenge_decorator_spec.rb[1:2:1:1]          | passed  | 0.00019 seconds |
./spec/decorators/challenge_decorator_spec.rb[1:2:2:1]          | passed  | 0.00021 seconds |
